P_1,P_2,P_3,P_4,P_5,P_6,P_7
513.52462232166+0i,513.021658195777+0i,-10+0i,514.51886754286+0i,-5.99712261059984+22.2716451788436i,-5.99712261059984-22.2716451788436i,-0.942809041582063+0i
513.562848968871+0i,513.290980714362+0i,-10+0i,514.557093765705+0i,-5.99712239841688+22.2776807724573i,-5.99712239841688-22.2776807724573i,-0.942809041582063+0i
513.81338177692+0i,513.32688925286+0i,-10+0i,514.807630124074+0i,-5.99712417357647+22.2784958265568i,-5.99712417357647-22.2784958265568i,-0.942809041582063+0i
514.142444261704+0i,513.455284535638+0i,-10+0i,515.136696968865+0i,-5.99712635358034+22.2813857529328i,-5.99712635358034-22.2813857529328i,-0.942809041582063+0i
514.479499294149+0i,513.661038821547+0i,-10+0i,515.47375618962+0i,-5.99712844773526+22.2860079934597i,-5.99712844773526-22.2860079934597i,-0.942809041582063+0i
514.967479291393+0i,513.99477366477+0i,-10+0i,515.961742109346+0i,-5.99713140897637+22.2935007546992i,-5.99713140897637-22.2935007546992i,-0.942809041582063+0i
515.084430787919+0i,514.287667533631+0i,-10+0i,516.07869424824+0i,-5.99713173016064+22.3000613039896i,-5.99713173016064-22.3000613039896i,-0.942809041582063+0i
515.35453372888+0i,514.789952679383+0i,-10+0i,516.348799306266+0i,-5.99713278869316+22.3113104879904i,-5.99713278869316-22.3113104879904i,-0.942809041582063+0i
515.439218410806+0i,514.974192508553+0i,-10+0i,516.433484554375+0i,-5.99713307178419+22.3154346965004i,-5.99713307178419-22.3154346965004i,-0.942809041582063+0i
515.780764904893+0i,515.241085018755+0i,-10+0i,516.775035060524+0i,-5.99713507781592+22.321417007451i,-5.99713507781592-22.321417007451i,-0.942809041582063+0i
515.927353331957+0i,515.459714483967+0i,-10+0i,516.921624830051+0i,-5.9971357490466+22.3263106839237i,-5.9971357490466-22.3263106839237i,-0.942809041582063+0i
516.372609814535+0i,515.629736850304+0i,-10+0i,517.366887176722+0i,-5.9971386810931+22.3301296351836i,-5.9971386810931-22.3301296351836i,-0.942809041582063+0i
516.672984761822+0i,516.108156215921+0i,-10+0i,517.667264757034+0i,-5.99713999760639+22.3408318729405i,-5.99713999760639-22.3408318729405i,-0.942809041582063+0i
516.736160271701+0i,516.327801232203+0i,-10+0i,517.730440389743+0i,-5.99714005902129+22.345740461135i,-5.99714005902129-22.345740461135i,-0.942809041582063+0i
516.863157795137+0i,516.678325145495+0i,-10+0i,517.857438489578+0i,-5.9971403472202+22.3535727839531i,-5.9971403472202-22.3535727839531i,-0.942809041582063+0i
517.094782828722+0i,516.738484448117+0i,-10+0i,518.089066667392+0i,-5.99714191933508+22.3549256009322i,-5.99714191933508-22.3549256009322i,-0.942809041582063+0i
517.145893882215+0i,516.898699220705+0i,-10+0i,518.140177883404+0i,-5.99714200059479+22.3585041185512i,-5.99714200059479-22.3585041185512i,-0.942809041582063+0i
517.568910463354+0i,517.381293650983+0i,-10+0i,518.563198853424+0i,-5.99714419503512+22.3692911179591i,-5.99714419503512-22.3692911179591i,-0.942809041582063+0i
517.746033207131+0i,517.722387673202+0i,-10+0i,518.740322931777+0i,-5.99714486232301+22.3769070201429i,-5.99714486232301-22.3769070201429i,-0.942809041582063+0i
518.086515719939+0i,517.80958506823+0i,-10+0i,519.080810055062+0i,-5.99714716756145+22.3788659630915i,-5.99714716756145-22.3788659630915i,-0.942809041582063+0i
518.407388699809+0i,518.322472188951+0i,-10+0i,519.401685824746+0i,-5.99714856246876+22.3903140640408i,-5.99714856246876-22.3903140640408i,-0.942809041582063+0i
518.512235377184+0i,518.72995997338+0i,-10+0i,519.506532550953+0i,-5.99714858688473+22.399399085794i,-5.99714858688473-22.399399085794i,-0.942809041582063+0i
518.656541136837+0i,518.878156076739+0i,-10+0i,519.650839860738+0i,-5.99714936195023+22.4027066976425i,-5.99714936195023-22.4027066976425i,-0.942809041582063+0i
519.071118562349+0i,519.146636758478+0i,-10+0i,520.065422298994+0i,-5.99715186832229+22.4087041450198i,-5.99715186832229-22.4087041450198i,-0.942809041582063+0i
519.299335004554+0i,519.269363999377+0i,-10+0i,520.293641586714+0i,-5.99715329107987+22.4114467691714i,-5.99715329107987-22.4114467691714i,-0.942809041582063+0i
519.311411527691+0i,519.304676276937+0i,-10+0i,520.30571815709+0i,-5.9971533146999+22.4122335939737i,-5.9971533146999-22.4122335939737i,-0.942809041582063+0i
519.798723091019+0i,519.763303471305+0i,-10+0i,520.793035083974+0i,-5.99715599647778+22.4224640235731i,-5.99715599647778-22.4224640235731i,-0.942809041582063+0i
519.98666167645+0i,519.872440511958+0i,-10+0i,520.980975977337+0i,-5.99715715044325+22.4249008283698i,-5.99715715044325-22.4249008283698i,-0.942809041582063+0i
520.005388664169+0i,520.124330617364+0i,-10+0i,520.999702333603+0i,-5.99715683471707+22.4305066375728i,-5.99715683471707-22.4305066375728i,-0.942809041582063+0i
520.070821324113+0i,520.189396562924+0i,-10+0i,521.06513570008+0i,-5.99715718798327+22.4319569872674i,-5.99715718798327-22.4319569872674i,-0.942809041582063+0i
520.516017844047+0i,520.605650820017+0i,-10+0i,521.510337116857+0i,-5.99715963640469+22.4412343786378i,-5.99715963640469-22.4412343786378i,-0.942809041582063+0i
520.867381251329+0i,520.976434597415+0i,-10+0i,521.861704232392+0i,-5.99716149053134+22.4494932158626i,-5.99716149053134-22.4494932158626i,-0.942809041582063+0i
521.236555688295+0i,521.402921754996+0i,-10+0i,522.230882429088+0i,-5.99716337039676+22.4589875771738i,-5.99716337039676-22.4589875771738i,-0.942809041582063+0i
