P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11
-18.9371549676079+0i,-19.9412900361493+0i,-16.9858163215368+0i,-0.016101342413665+3.3418933425326i,-0.016101342413665-3.3418933425326i,-2.3591409666342+0i,0.0135857775795816+3.38654305638854i,0.0135857775795816-3.38654305638854i,-2.60457078296454+0i,0+0i,1+0i
-18.255219785042+0i,-19.1520354783251+0i,-16.3002344375457+0i,-7.84549398835654e-05+3.95201445310789i,-7.84549398835654e-05-3.95201445310789i,-6.92215742243943+0i,0.0153025708968959+3.96416301152453i,0.0153025708968959-3.96416301152453i,-7.40589822728483+0i,0+0i,1+0i
-18.0706044371763+0i,-18.9315605736952+0i,-16.2419295085049+0i,-0.00847210719095814+4.08759271595497i,-0.00847210719095814-4.08759271595497i,-13.0417529062894+0i,0.0156846081913055+4.08134629340668i,0.0156846081913055-4.08134629340668i,-13.1902685461375+0i,0+0i,1+0i
-17.8053662561675+0i,-18.7687194472426+0i,-16.2370065784729+0i,-0.0075316205753504+4.07453668901431i,-0.0075316205753504-4.07453668901431i,-14.5722793845041+0i,0.0108581691008509+4.06994660986953i,0.0108581691008509-4.06994660986953i,-14.6617372717443+0i,0+0i,1+0i
-17.8008844338336+0i,-18.6314537322777+0i,-16.0725818762102+0i,-0.00800360639794118+4.01987998327222i,-0.00800360639794118-4.01987998327222i,-10.6714382840146+0i,0.0114169769531961+4.01523596942826i,0.0114169769531961-4.01523596942826i,-10.8465257343346+0i,0+0i,1+0i
-17.7563191273605+0i,-18.4780025602535+0i,-15.8885695241187+0i,-0.00531388295458335+4.04528432149881i,-0.00531388295458335-4.04528432149881i,-12.6207203075917+0i,0.0126949182529386+4.04651479083095i,0.0126949182529386-4.04651479083095i,-13.1756749393758+0i,0+0i,1+0i
-17.5794010201187+0i,-18.2622695531129+0i,-15.8280773245352+0i,-0.0324843921811807+3.89629969938694i,-0.0324843921811807-3.89629969938694i,-6.85688588823925+0i,0.00728520949642164+3.88036337345675i,0.00728520949642164-3.88036337345675i,-7.07162364702602+0i,0+0i,1+0i
-17.4488548206437+0i,-18.2512140216651+0i,-15.7203659781992+0i,-0.0097335805266423+4.03795133945003i,-0.0097335805266423-4.03795133945003i,-14.9593771507516+0i,0.00859156180220655+4.03446489248728i,0.00859156180220655-4.03446489248728i,-15.1455532671952+0i,0+0i,1+0i
-17.4314492459348+0i,-18.1499285146211+0i,-15.5361602536177+0i,-0.0055003687940548+3.35925687316857i,-0.0055003687940548-3.35925687316857i,-2.80465544421621+0i,0.0450407030365457+3.45364230508561i,0.0450407030365457-3.45364230508561i,-3.45373943672692+0i,0+0i,1+0i
-17.2625490114327+0i,-18.0705654845087+0i,-15.3622849591666+0i,-0.00444567018260578+3.97571781634407i,-0.00444567018260578-3.97571781634407i,-11.7491388381512+0i,0.0240104736494597+3.96607377252557i,0.0240104736494597-3.96607377252557i,-11.8072986119592+0i,0+0i,1+0i
-17.0790768429454+0i,-18.0011700129625+0i,-15.3567142555985+0i,-0.00915174417340281+3.93118607096926i,-0.00915174417340281-3.93118607096926i,-10.3192936763432+0i,0.00729199105626621+3.92896888967649i,0.00729199105626621-3.92896888967649i,-10.5516206850038+0i,0+0i,1+0i
-16.8463818014106+0i,-17.9352569302293+0i,-15.3521971863258+0i,-0.0109923101191993+3.82987897487083i,-0.0109923101191993-3.82987897487083i,-7.56374750804194+0i,0.0304683135402243+3.81123903993474i,0.0304683135402243-3.81123903993474i,-7.70415227919889+0i,0+0i,1+0i
-16.6187390539779+0i,-17.7062418023832+0i,-15.324247084948+0i,-0.00378600690447482+3.61790541114753i,-0.00378600690447482-3.61790541114753i,-4.67289165497131+0i,0.00912666602918215+3.60826735382499i,0.00912666602918215-3.60826735382499i,-4.70180403881331+0i,0+0i,1+0i
-16.3560175840398+0i,-17.544272025848+0i,-15.2285764593341+0i,-0.00207775947386513+3.91323213169214i,-0.00207775947386513-3.91323213169214i,-15.6221172518101+0i,0.0155949738168926+3.90976059900219i,0.0155949738168926-3.90976059900219i,-15.769451700183+0i,0+0i,1+0i
-16.195292099346+0i,-17.4140532609929+0i,-15.1635137608626+0i,-0.0175851859860209+3.65224215571516i,-0.0175851859860209-3.65224215571516i,-5.47097174952558+0i,0.0236404712270073+3.62605785013321i,0.0236404712270073-3.62605785013321i,-5.56749307600076+0i,0+0i,1+0i
-16.1447595874339+0i,-17.2292974860565+0i,-14.9033778436333+0i,-0.00820283333976835+3.7943206012727i,-0.00820283333976835-3.7943206012727i,-9.08552509086215+0i,0.00618866895778536+3.78873694096076i,0.00618866895778536-3.78873694096076i,-9.13006727424312+0i,0+0i,1+0i
-15.9128592996556+0i,-16.981376944763+0i,-14.7900563841729+0i,-0.0173039737733741+3.80071257571267i,-0.0173039737733741-3.80071257571267i,-10.4707854916607+0i,0.0132120733348623+3.78973101142804i,0.0132120733348623-3.78973101142804i,-10.533402825046+0i,0+0i,1+0i
-15.6660926253677+0i,-16.8827336541282+0i,-14.785841777952+0i,-0.00873368848530165+3.79730848711132i,-0.00873368848530165-3.79730848711132i,-12.3488842426986+0i,0.00754513804341084+3.79234894789012i,0.00754513804341084-3.79234894789012i,-12.3839161957938+0i,0+0i,1+0i
-15.4644352223709+0i,-16.746001595643+0i,-14.6682162375723+0i,-0.000914948002917915+3.80367212053753i,-0.000914948002917915-3.80367212053753i,-15.4901544178188+0i,0.0122146925358467+3.80056762471201i,0.0122146925358467-3.80056762471201i,-15.5320201845518+0i,0+0i,1+0i
-15.3576607403132+0i,-16.5569971267497+0i,-14.4975687227608+0i,-0.00231518569214495+3.78311505080188i,-0.00231518569214495-3.78311505080188i,-14.6185417532079+0i,0.020548254184988+3.77757630844291i,0.020548254184988-3.77757630844291i,-14.7070068568766+0i,0+0i,1+0i
-15.1269006322652+0i,-16.3814959631952+0i,-14.4792413030056+0i,-0.0288965936773346+3.45124697242133i,-0.0288965936773346-3.45124697242133i,-4.43323370482948+0i,0.00853502554996899+3.45788572467431i,0.00853502554996899-3.45788572467431i,-4.85357278609628+0i,0+0i,1+0i
-15.0590873263028+0i,-16.2021766806201+0i,-14.2505667515015+0i,-0.014941421880093+3.74800622954317i,-0.014941421880093-3.74800622954317i,-14.4456497962108+0i,0.0141090058219212+3.74087740155775i,0.0141090058219212-3.74087740155775i,-14.5427520540735+0i,0+0i,1+0i
-14.8006605145056+0i,-15.9967091410769+0i,-14.0893012230795+0i,-0.00591207878897881+3.65647421700705i,-0.00591207878897881-3.65647421700705i,-10.2218560945882+0i,0.0029069189890667+3.65359074526921i,0.0029069189890667-3.65359074526921i,-10.2530718974331+0i,0+0i,1+0i
-14.5748194627774+0i,-15.7565235676442+0i,-13.9093539434199+0i,-0.00360616624202215+3.68500983776014i,-0.00360616624202215-3.68500983776014i,-14.5349782756391+0i,0.0106466965264789+3.68170731432551i,0.0106466965264789-3.68170731432551i,-14.5970593733105+0i,0+0i,1+0i
-14.381011111374+0i,-15.7311301631949+0i,-13.6992095807203+0i,-0.0188381992393178+3.65959551164059i,-0.0188381992393178-3.65959551164059i,-14.0070337448605+0i,0.000349155023528835+3.65468041972174i,0.000349155023528835-3.65468041972174i,-14.0493450757004+0i,0+0i,1+0i
-14.164071996697+0i,-15.5551009125684+0i,-13.6100570148861+0i,-0.00946495066505004+3.63312529722605i,-0.00946495066505004-3.63312529722605i,-14.40915871827+0i,0.00602288885661473+3.62955563195522i,0.00602288885661473-3.62955563195522i,-14.4741968364925+0i,0+0i,1+0i
-13.9560103326532+0i,-15.5115434308621+0i,-13.4256383242247+0i,-0.00101571556506008+3.52874548547836i,-0.00101571556506008-3.52874548547836i,-9.2606299787048+0i,0.0117921209056591+3.52640576216941i,0.0117921209056591-3.52640576216941i,-9.39606380603266+0i,0+0i,1+0i
-13.8235898508154+0i,-15.50899557697+0i,-13.1917286932921+0i,-0.0251365622930378+3.57722620202965i,-0.0251365622930378-3.57722620202965i,-12.7908202344657+0i,0.00157459874488652+3.56991239682801i,0.00157459874488652-3.56991239682801i,-12.8481033648176+0i,0+0i,1+0i
-13.771577152798+0i,-15.3648227761219+0i,-13.0463170209772+0i,-0.00762536517158363+3.57072054754023i,-0.00762536517158363-3.57072054754023i,-13.2764548984166+0i,0.00613543790228166+3.56741685595697i,0.00613543790228166-3.56741685595697i,-13.3392786703272+0i,0+0i,1+0i
-13.7365837402583+0i,-15.1776777873262+0i,-12.9584655028602+0i,-0.00322658931652009+3.41570701289715i,-0.00322658931652009-3.41570701289715i,-6.59473991966713+0i,0.036113298304538+3.39802868324341i,0.036113298304538-3.39802868324341i,-6.72950186449526+0i,0+0i,1+0i
-13.5367452367331+0i,-14.9207480259361+0i,-12.7277588472047+0i,-0.0117037199254916+3.20081795714875i,-0.0117037199254916-3.20081795714875i,-4.0165262438794+0i,0.0322068264159975+3.18057221219726i,0.0322068264159975-3.18057221219726i,-4.21347771999083+0i,0+0i,1+0i
-13.3459312353434+0i,-14.7432900966642+0i,-12.6803844251508+0i,-0.00877868750047694+3.50609099934002i,-0.00877868750047694-3.50609099934002i,-12.4495440384912+0i,0.0102821382681135+3.50204588556779i,0.0102821382681135-3.50204588556779i,-12.5939704479129+0i,0+0i,1+0i
-13.1152628316641+0i,-14.5171189761254+0i,-12.6018265511252+0i,-0.00920794029648153+3.33770493508523i,-0.00920794029648153-3.33770493508523i,-6.51866366374055+0i,0.00479931504867614+3.33590479398092i,0.00479931504867614-3.33590479398092i,-6.66396140237515+0i,0+0i,1+0i
-12.9709215035219+0i,-14.4166707686695+0i,-12.5788871815645+0i,-0.0185757716337719+3.4602616679516i,-0.0185757716337719-3.4602616679516i,-12.5245308623308+0i,0.00308304058149689+3.45751432223504i,0.00308304058149689-3.45751432223504i,-12.8389720706023+0i,0+0i,1+0i
-12.7840162256998+0i,-14.3678696449923+0i,-12.3286609598935+0i,-0.00721639104726224+3.42852707529393i,-0.00721639104726224-3.42852707529393i,-12.2424412832318+0i,0.0159340140855273+3.42382920613749i,0.0159340140855273-3.42382920613749i,-12.4311777503574+0i,0+0i,1+0i
-12.6201698563191+0i,-14.1913225349279+0i,-12.2503434699012+0i,-0.0109148584934912+3.07421687356412i,-0.0109148584934912-3.07421687356412i,-3.89515149191866+0i,0.00562184165654006+3.10267163824524i,0.00562184165654006-3.10267163824524i,-4.26316405653418+0i,0+0i,1+0i
-12.36250650726+0i,-14.0972852107667+0i,-12.2013817014892+0i,-0.0010859046629923+3.36901857426892i,-0.0010859046629923-3.36901857426892i,-12.1867455324976+0i,0.00490982884435298+3.36784474128076i,0.00490982884435298-3.36784474128076i,-12.2378695194497+0i,0+0i,1+0i
-12.1358302585187+0i,-13.897299693841+0i,-12.1544242647348+0i,-0.00718316561391175+3.34392345586322i,-0.00718316561391175-3.34392345586322i,-12.5388389838176+0i,0.00661261312005657+3.34134925692649i,0.00661261312005657-3.34134925692649i,-12.6613344216334+0i,0+0i,1+0i
-12.0507686825732+0i,-13.7923374487091+0i,-11.9312158736638+0i,-0.00100756304998376+3.26535313249242i,-0.00100756304998376-3.26535313249242i,-8.6631378053733+0i,0.00163422707906646+3.27572143721474i,0.00163422707906646-3.27572143721474i,-9.15632990887101+0i,0+0i,1+0i
-11.9216250475599+0i,-13.6395508449444+0i,-11.7181697205962+0i,-0.0126932436013449+3.31218955904307i,-0.0126932436013449-3.31218955904307i,-12.219385486248+0i,0.0140827530017107+3.30565614140824i,0.0140827530017107-3.30565614140824i,-12.3305956186363+0i,0+0i,1+0i
-11.8564110504204+0i,-13.4089430097868+0i,-11.700676071561+0i,-0.00146199468425665+3.24458108656826i,-0.00146199468425665-3.24458108656826i,-8.89453082660674+0i,0.0186421991042364+3.24725599432333i,0.0186421991042364-3.24725599432333i,-9.37817979366638+0i,0+0i,1+0i
-11.7351333043446+0i,-13.2526414676529+0i,-11.4348203378977+0i,-0.0195274254964546+3.28448781968873i,-0.0195274254964546-3.28448781968873i,-11.9093016341671+0i,0.000537942053828289+3.28205560049704i,0.000537942053828289-3.28205560049704i,-12.1960358283239+0i,0+0i,1+0i
-11.6720973532142+0i,-12.9943106048038+0i,-11.3959468097498+0i,-0.00747038566150329+3.22216403568923i,-0.00747038566150329-3.22216403568923i,-8.91502131742518+0i,0.0240247088998838+3.21343813819469i,0.0240247088998838-3.21343813819469i,-9.0928507041705+0i,0+0i,1+0i
-11.5139082264748+0i,-12.8371954204048+0i,-11.1515990185909+0i,-0.00923375601755563+2.84586371833007i,-0.00923375601755563-2.84586371833007i,-3.30941824651039+0i,0.0206063659815146+2.87699022316892i,0.0206063659815146-2.87699022316892i,-3.70423545058134+0i,0+0i,1+0i
-11.5055417678668+0i,-12.6340090515509+0i,-10.9421585490018+0i,-0.00844412953363849+3.23200790530447i,-0.00844412953363849-3.23200790530447i,-10.6750497178047+0i,0.00191573044763071+3.23701916766426i,0.00191573044763071-3.23701916766426i,-11.2433009978816+0i,0+0i,1+0i
-11.2778951220537+0i,-12.4852527892425+0i,-10.8747914815285+0i,-0.0119894024215836+3.21534196981883i,-0.0119894024215836-3.21534196981883i,-11.7184538140434+0i,0.00555754689609711+3.21111511941051i,0.00555754689609711-3.21111511941051i,-11.7972311945728+0i,0+0i,1+0i
-11.0126513202176+0i,-12.4838419689688+0i,-10.8078414963222+0i,-0.00250842814118957+3.16012486612491i,-0.00250842814118957-3.16012486612491i,-10.6770668741609+0i,0.014023992077663+3.15811237588271i,0.014023992077663-3.15811237588271i,-10.8988664751856+0i,0+0i,1+0i
-10.8477916665247+0i,-12.240165111425+0i,-10.7526353791672+0i,-0.00585588509910867+3.06304339901619i,-0.00585588509910867-3.06304339901619i,-7.31530545849304+0i,0.0138373506837269+3.06669113376371i,0.0138373506837269-3.06669113376371i,-7.72554202823266+0i,0+0i,1+0i
-10.6455532791627+0i,-12.1743231346179+0i,-10.6938109656873+0i,-0.0407053173567499+3.09139192540131i,-0.0407053173567499-3.09139192540131i,-8.99462942402176+0i,0.000860186985646882+3.07887589813907i,0.000860186985646882-3.07887589813907i,-9.14508999526064+0i,0+0i,1+0i
-10.3984802416394+0i,-12.0262792221384+0i,-10.6160374290595+0i,-0.0049388551963519+2.84801415016575i,-0.0049388551963519-2.84801415016575i,-4.50133191075108+0i,0.0198056153499318+2.84337751274168i,0.0198056153499318-2.84337751274168i,-4.67315645532872+0i,0+0i,1+0i
-10.1333600212812+0i,-11.7889910957018+0i,-10.4307800920274+0i,-0.0115654830342805+2.9842171342885i,-0.0115654830342805-2.9842171342885i,-8.06318513020281+0i,0.00229665230811105+2.99344235040122i,0.00229665230811105-2.99344235040122i,-8.68105512677758+0i,0+0i,1+0i
-10.1293866093284+0i,-11.7206009178124+0i,-10.3482512055653+0i,-0.00333994199275156+2.84324972772509i,-0.00333994199275156-2.84324972772509i,-4.91942101467723+0i,0.0254388288389641+2.82756342453312i,0.0254388288389641-2.82756342453312i,-4.98904366562275+0i,0+0i,1+0i
-9.9773138775045+0i,-11.5546282986071+0i,-10.1626835141568+0i,-0.00010185061760011+2.97333361739316i,-0.00010185061760011-2.97333361739316i,-8.77641397463622+0i,0.0240663737045383+2.97507021089516i,0.0240663737045383-2.97507021089516i,-9.28988575968092+0i,0+0i,1+0i
-9.85015099431356+0i,-11.5363660050048+0i,-10.0815701439175+0i,-0.00309260577866233+2.99172931814114i,-0.00309260577866233-2.99172931814114i,-10.8805791868464+0i,0.00198245063528113+2.99131275525905i,0.00198245063528113-2.99131275525905i,-10.9612724126138+0i,0+0i,1+0i
-9.60666603597364+0i,-11.512737229609+0i,-9.98251889181986+0i,-0.00142504661144149+2.79222038925762i,-0.00142504661144149-2.79222038925762i,-5.29192828879403+0i,0.00750084086879477+2.80023476065675i,0.00750084086879477-2.80023476065675i,-5.52359909187418+0i,0+0i,1+0i
-9.43232562974132+0i,-11.3208545280302+0i,-9.8052370024885+0i,-0.00172095747799839+2.88902446082136i,-0.00172095747799839-2.88902446082136i,-8.65660166685815+0i,0.0320659525354065+2.8818971322196i,0.0320659525354065-2.8818971322196i,-8.91433289793312+0i,0+0i,1+0i
-9.42854413006983+0i,-11.2963626501982+0i,-9.61375735144936+0i,-0.0236648945944817+2.92318098827317i,-0.0236648945944817-2.92318098827317i,-10.1725068098038+0i,0.0121903190889031+2.91431673926571i,0.0121903190889031-2.91431673926571i,-10.328163631769+0i,0+0i,1+0i
-9.30911206015242+0i,-11.099339418357+0i,-9.58789869455038+0i,-0.0270437025860997+2.58430114503133i,-0.0270437025860997-2.58430114503133i,-3.3484343002902+0i,0.0108891797545+2.59335499657112i,0.0108891797545-2.59335499657112i,-3.6817638567658+0i,0+0i,1+0i
-9.10187022485271+0i,-10.9191002853984+0i,-9.53863620723969+0i,-0.014735168374064+2.84746499352714i,-0.014735168374064-2.84746499352714i,-8.89056837444351+0i,0.000141854404693054+2.84808450728828i,0.000141854404693054-2.84808450728828i,-9.19377142858955+0i,0+0i,1+0i
-8.97182462033546+0i,-10.6579767296299+0i,-9.28710065023614+0i,-0.00101646738171254+2.83027603635017i,-0.00101646738171254-2.83027603635017i,-9.31344638896339+0i,0.0394121790657495+2.81889177972858i,0.0394121790657495-2.81889177972858i,-9.45105927952578+0i,0+0i,1+0i
-8.74062957931153+0i,-10.6550351847347+0i,-9.22296410367864+0i,-0.000498797312952715+2.80776091827328i,-0.000498797312952715-2.80776091827328i,-10.1876431197827+0i,0.00812695725397422+2.80540978236027i,0.00812695725397422-2.80540978236027i,-10.2071891464573+0i,0+0i,1+0i
-8.53574172192599+0i,-10.3966427759094+0i,-9.12565951926229+0i,-0.00770486164870275+2.76355555599389i,-0.00770486164870275-2.76355555599389i,-9.35419150002516+0i,0.0115969908338342+2.75827506656191i,0.0115969908338342-2.75827506656191i,-9.41614639908809+0i,0+0i,1+0i
-8.46190614954573+0i,-10.3297326508211+0i,-9.06846866016992+0i,-0.0258246488275151+2.40166543905251i,-0.0258246488275151-2.40166543905251i,-2.97962588567691+0i,0.00128969647692738+2.40607847004464i,0.00128969647692738-2.40607847004464i,-3.17422893425247+0i,0+0i,1+0i
-8.41356842555382+0i,-10.2677793854452+0i,-8.93848085133956+0i,-0.0126526985400722+2.1639719136516i,-0.0126526985400722-2.1639719136516i,-2.19819472340296+0i,0.0265443431198537+2.21461698565497i,0.0265443431198537-2.21461698565497i,-2.52548078597528+0i,0+0i,1+0i
-8.2231750506554+0i,-10.0246893484303+0i,-8.75120774429944+0i,-1.9474994864971+0i,-0.0247096283440082+2.05153756437967i,-0.0247096283440082-2.05153756437967i,0.0168632937244778+2.20030525291728i,0.0168632937244778-2.20030525291728i,-2.51379427571446+0i,0+0i,1+0i
-8.21364502477641+0i,-9.98109151028643+0i,-8.70972325856265+0i,-9.29193948588525e-05+2.70112521066527i,-9.29193948588525e-05-2.70112521066527i,-8.94987846071685+0i,0.0202926890031181+2.69787867323963i,0.0202926890031181-2.69787867323963i,-9.14426679354915+0i,0+0i,1+0i
-8.17509534747103+0i,-9.85183176369511+0i,-8.60730407016258+0i,-0.0176106884546451+2.57562149347557i,-0.0176106884546451-2.57562149347557i,-5.1183428954462+0i,0.015035477289806+2.5597591599807i,0.015035477289806-2.5597591599807i,-5.19008702773111+0i,0+0i,1+0i
-8.09038479436483+0i,-9.77916126343087+0i,-8.50032283298354+0i,-0.0120990705183825+2.69180784040424i,-0.0120990705183825-2.69180784040424i,-9.34927614729151+0i,0.0134930922799038+2.68506799529526i,0.0134930922799038-2.68506799529526i,-9.43515172517258+0i,0+0i,1+0i
-8.03405328860844+0i,-9.75488422135829+0i,-8.4330814820876+0i,-0.0027738378523762+2.63237521098569i,-0.0027738378523762-2.63237521098569i,-7.23261613714823+0i,0.00226977532629102+2.64923882347762i,0.00226977532629102-2.64923882347762i,-7.94670043990638+0i,0+0i,1+0i
-8.01185203459278+0i,-9.71149815924469+0i,-8.42611498023819+0i,-0.000155732365608462+2.6699098154154i,-0.000155732365608462-2.6699098154154i,-9.06616720832807+0i,0.0289068283678004+2.66178367528337i,0.0289068283678004-2.66178367528337i,-9.15306830853362+0i,0+0i,1+0i
-7.95178569866182+0i,-9.61613629326192+0i,-8.23022244389224+0i,-1.47878049040908+0i,-0.0391060438284727+1.73019191703269i,-0.0391060438284727-1.73019191703269i,0.0753511145704598+1.93900207065381i,0.0753511145704598-1.93900207065381i,-2.18569264639663+0i,0+0i,1+0i
-7.84627241624801+0i,-9.35238369953936+0i,-7.98801675723082+0i,-0.0288265812553653+2.43199177128285i,-0.0288265812553653-2.43199177128285i,-3.82934013345054+0i,0.0306305091508709+2.40245265860929i,0.0306305091508709-2.40245265860929i,-4.01578033987843+0i,0+0i,1+0i
-7.76340536568978+0i,-9.21027349616351+0i,-7.87315056049732+0i,-0.0132271396329495+2.51810910168895i,-0.0132271396329495-2.51810910168895i,-5.31373648261738+0i,0.00428150741978245+2.52068405505336i,0.00428150741978245-2.52068405505336i,-5.55492534476286+0i,0+0i,1+0i
-7.70773730658004+0i,-9.11019659653856+0i,-7.66041127076562+0i,-0.0100444443929134+2.58796897523675i,-0.0100444443929134-2.58796897523675i,-7.47772387889257+0i,0.00792657211376344+2.58184885841878i,0.00792657211376344-2.58184885841878i,-7.51626817886607+0i,0+0i,1+0i
-7.53339882892827+0i,-8.87813985666528+0i,-7.47064625728107+0i,-0.00570616604079371+2.54860939726164i,-0.00570616604079371-2.54860939726164i,-7.17508473067057+0i,0.0177157734215161+2.54039268000492i,0.0177157734215161-2.54039268000492i,-7.22592957604061+0i,0+0i,1+0i
-7.42822909549602+0i,-8.71900182185238+0i,-7.46771597002543+0i,-0.00618791960364304+2.54485465677773i,-0.00618791960364304-2.54485465677773i,-7.70696030453546+0i,0.00482238915455771+2.54360444829334i,0.00482238915455771-2.54360444829334i,-7.82637131494419+0i,0+0i,1+0i
-7.1938706620491+0i,-8.70419853780318+0i,-7.3246453731306+0i,-0.00872997847794429+2.51123564337356i,-0.00872997847794429-2.51123564337356i,-7.96433317095691+0i,0.0119323184690804+2.50611659377592i,0.0119323184690804-2.50611659377592i,-8.06646155591867+0i,0+0i,1+0i
-7.16317099397951+0i,-8.62762628219292+0i,-7.21680283562153+0i,-1.85538991304627+0i,-0.0155848417346161+1.85000806387521i,-0.0155848417346161-1.85000806387521i,0.073222986799587+1.8916855682637i,0.073222986799587-1.8916855682637i,-2.29433353321114+0i,0+0i,1+0i
-7.14371210469611+0i,-8.40840052416418+0i,-7.15240320517742+0i,-0.00806124894191923+2.45444295173768i,-0.00806124894191923-2.45444295173768i,-6.27908534867197+0i,0.00679806133082306+2.47107311446195i,0.00679806133082306-2.47107311446195i,-6.97936699802453+0i,0+0i,1+0i
-6.94480145143883+0i,-8.22095930530513+0i,-6.9930771074417+0i,-1.83953295091224+0i,-0.0159210314505686+1.81368537161138i,-0.0159210314505686-1.81368537161138i,0.0217000916767427+1.91774340853782i,0.0217000916767427-1.91774340853782i,-2.21827820000638+0i,0+0i,1+0i
-6.86525939680289+0i,-8.04059758093525+0i,-6.90388293832055+0i,-0.0150499984373088+2.39042997437249i,-0.0150499984373088-2.39042997437249i,-5.78568570852005+0i,0.0105905548638989+2.3800330212108i,0.0105905548638989-2.3800330212108i,-5.83935639047015+0i,0+0i,1+0i
-6.76774519708109+0i,-7.92615738823721+0i,-6.7903426664023+0i,-0.0071279324119749+2.41652405794967i,-0.0071279324119749-2.41652405794967i,-7.18804327557257+0i,0.0353285598760324+2.4034391887553i,0.0353285598760324-2.4034391887553i,-7.31929472997127+0i,0+0i,1+0i
-6.72987367665181+0i,-7.79192669454783+0i,-6.61086074852367+0i,-0.0242901754388871+1.94401301413316i,-0.0242901754388871-1.94401301413316i,-2.17041470541329+0i,0.0529263596441764+1.98597273328014i,0.0529263596441764-1.98597273328014i,-2.67419684070128+0i,0+0i,1+0i
-6.6899431502011+0i,-7.71019153817342+0i,-6.4175720619709+0i,-0.0204726605334417+2.40093419346992i,-0.0204726605334417-2.40093419346992i,-6.93594664465253+0i,0.0117642360186774+2.39147776752684i,0.0117642360186774-2.39147776752684i,-7.05447485275124+0i,0+0i,1+0i
-6.66578182256185+0i,-7.52958286509431+0i,-6.16696968964098+0i,-0.0386443704589951+2.27537748018286i,-0.0386443704589951-2.27537748018286i,-4.13639294218173+0i,0.00568652426419868+2.28041421525748i,0.00568652426419868-2.28041421525748i,-4.60032332197125+0i,0+0i,1+0i
-6.43061626552853+0i,-7.40244378605667+0i,-6.1586326630341+0i,4.70442510120961e-05+2.55222222397123i,4.70442510120961e-05-2.55222222397123i,77.2778830365027+0i,-0.000790013986833607+2.55219818160231i,-0.000790013986833607-2.55219818160231i,77.261878972644+0i,0+0i,0+0i
-6.18104516182266+0i,-7.37101129144535+0i,-6.01915698754898+0i,-0.0147243953949429+2.28061945497687i,-0.0147243953949429-2.28061945497687i,-6.1239290720949+0i,0.00868428658880155+2.27442524919392i,0.00868428658880155-2.27442524919392i,-6.23874362488016+0i,0+0i,1+0i
-6.15085227965178+0i,-7.36986409781122+0i,-5.85125758469762+0i,-0.0130083386654299+2.08659825516316i,-0.0130083386654299-2.08659825516316i,-3.33418202766782+0i,0.031354946056986+2.07634025572904i,0.031354946056986-2.07634025572904i,-3.55503433632716+0i,0+0i,1+0i
-6.03822042431261+0i,-7.33562085088158+0i,-5.83172366884647+0i,-2.21417086765763+0i,0.124199352651316+1.61811995199909i,0.124199352651316-1.61811995199909i,0.202656983847721+1.61294255477692i,0.202656983847721-1.61294255477692i,-2.49902175003437+0i,0+0i,1+0i
-30.6789446477872+0i,-31.4054492207012+0i,-30.4030984910606+0i,-0.00412681797171777+5.4117515742998i,-0.00412681797171777-5.4117515742998i,-21.8595679379673+0i,0.0134397400519668+5.40741779486314i,0.0134397400519668-5.40741779486314i,-21.8988242195334+0i,0+0i,1+0i
-30.4369558599989+0i,-31.258035071088+0i,-30.178883786197+0i,0.00738834833861979+5.62793890895542i,0.00738834833861979-5.62793890895542i,24.9731857432185+0i,-0.00438064808153182+5.62601575712791i,-0.00438064808153182-5.62601575712791i,24.8291299305734+0i,0+0i,0+0i
-30.2138440159294+0i,-31.2417825539178+0i,-30.1242461114375+0i,-0.00528001622084839+5.40703122272121i,-0.00528001622084839-5.40703122272121i,-30.5725947418819+0i,0.00411091185539558+5.40586159705614i,0.00411091185539558-5.40586159705614i,-30.7548117603204+0i,0+0i,1+0i
-30.0499354386083+0i,-31.1589032481671+0i,-30.0039610411565+0i,-0.00275537498409262+5.39102982820076i,-0.00275537498409262-5.39102982820076i,-30.2863822754025+0i,0.00500719394926152+5.38965711994065i,0.00500719394926152-5.38965711994065i,-30.3052124643273+0i,0+0i,1+0i
-29.8948179241856+0i,-30.9616047339448+0i,-29.8638366763129+0i,0.000319380533821412+5.37278654673571i,0.000319380533821412-5.37278654673571i,-29.0996318020492+0i,-0.00342826642602945+5.37469552419181i,-0.00342826642602945-5.37469552419181i,-29.4701667999067+0i,0+0i,0+0i
-29.8905342378762+0i,-30.93817791257+0i,-29.6759406446783+0i,0.00122827442674678+5.37444344272228i,0.00122827442674678-5.37444344272228i,-29.7884953387745+0i,-0.00523411610827562+5.3778963639358i,-0.00523411610827562-5.3778963639358i,-30.5321430652041+0i,0+0i,0+0i
-29.6989383186326+0i,-30.8165408852012+0i,-29.5391602094283+0i,-0.000653950952696714+5.35045550277834i,-0.000653950952696714-5.35045550277834i,-27.6792617632992+0i,0.0053031096823849+5.34957862717008i,0.0053031096823849-5.34957862717008i,-27.7670573820852+0i,0+0i,1+0i
-29.4486620166257+0i,-30.725322240719+0i,-29.307860351867+0i,-0.00148475191936837+5.33140952698957i,-0.00148475191936837-5.33140952698957i,-28.6525710454126+0i,0.00646238374617991+5.3299993346321i,0.00646238374617991-5.3299993346321i,-28.6895205853483+0i,0+0i,1+0i
