P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11
-9.19329382064649+0i,-11.448163385474+0i,-10.0213096111212+0i,0.00950043278858564+2.69575721118572i,0.00950043278858564-2.69575721118572i,-4.86370946283609+0i,-0.0139666191978351+2.74735388270712i,-0.0139666191978351-2.74735388270712i,-5.43203984705895+0i,0+0i,0+0i
-9.10365992538249+0i,-11.2813648366792+0i,-9.80241002658366+0i,-0.000377576146166458+2.82058705210277i,-0.000377576146166458-2.82058705210277i,-7.92438472491773+0i,0.0252577524736605+2.81336294633905i,0.0252577524736605-2.81336294633905i,-8.05004051334514+0i,0+0i,1+0i
-8.93775575639856+0i,-11.1687270979284+0i,-9.63627506683028+0i,-0.00272599606969898+2.56837150058768i,-0.00272599606969898-2.56837150058768i,-3.79675628972356+0i,0.000436784312535299+2.6004877348296i,0.000436784312535299-2.6004877348296i,-4.11248847170659+0i,0+0i,1+0i
-8.69711764621156+0i,-11.1469309749183+0i,-9.42848672000521+0i,-0.0224431998085746+2.54388570667007i,-0.0224431998085746-2.54388570667007i,-3.73292889924707+0i,0.0148515965330788+2.53609287426697i,0.0148515965330788-2.53609287426697i,-3.95361404143433+0i,0+0i,1+0i
-8.61122800019823+0i,-11.1052455669095+0i,-9.18468403053258+0i,-0.0382724440611891+2.50085973623832i,-0.0382724440611891-2.50085973623832i,-3.37601559264564+0i,0.0239357960916167+2.50747412607255i,0.0239357960916167-2.50747412607255i,-3.88401780768034+0i,0+0i,1+0i
-8.525397973041+0i,-10.8695192920174+0i,-9.05654490296032+0i,-1.95503117889369+0i,0.0151386540658913+2.00808098874387i,0.0151386540658913-2.00808098874387i,0.0510079529225134+2.06740919777926i,0.0510079529225134-2.06740919777926i,-2.21133789485956+0i,0+0i,1+0i
-8.33443353357717+0i,-10.5544646134555+0i,-8.72331194731628+0i,-0.0340885616119231+2.305417032059i,-0.0340885616119231-2.305417032059i,-2.57302274895142+0i,0.0387688681178399+2.3099317073465i,0.0387688681178399-2.3099317073465i,-2.99640611272273+0i,0+0i,1+0i
-8.13233602054325+0i,-10.482248900789+0i,-8.72082012908558+0i,-0.00102560952395081+2.55616399094573i,-0.00102560952395081-2.55616399094573i,-5.07748671741276+0i,0.0254337171419326+2.57394878422952i,0.0254337171419326-2.57394878422952i,-5.67284346702508+0i,0+0i,1+0i
-7.89416694124173+0i,-10.3579483723421+0i,-8.5398368895419+0i,-0.00188871681877023+2.54305296141364i,-0.00188871681877023-2.54305296141364i,-5.51093146852214+0i,0.02571702794928+2.53067281440076i,0.02571702794928-2.53067281440076i,-5.57359129925042+0i,0+0i,1+0i
-7.65905129132036+0i,-10.0953055076892+0i,-8.28758779379235+0i,-0.0461397845763899+2.35940754895449i,-0.0461397845763899-2.35940754895449i,-3.32626000507591+0i,0.0187804781851892+2.34082511074394i,0.0187804781851892-2.34082511074394i,-3.64656750145956+0i,0+0i,1+0i
-3.14286956623121+0i,-4.88165350393435+0i,-4.11086037075179+0i,-0.0111733144103721+1.57138760838484i,-0.0111733144103721-1.57138760838484i,-4.56228987850398+0i,0.00708656008492525+1.57845016587876i,0.00708656008492525-1.57845016587876i,-4.89381738343235+0i,0+0i,1+0i
-2.84760450971379+0i,-4.57611206260034+0i,-4.0067923752346+0i,0.00854019778878225+1.45925380188809i,0.00854019778878225-1.45925380188809i,-4.03314681360255+0i,-0.00868124550819976+1.47750377726569i,-0.00868124550819976-1.47750377726569i,-4.2108556695595+0i,0+0i,0+0i
-2.54520682442025+0i,-4.42932355421464+0i,-3.57408199963065+0i,0.0161875715972433+1.38899663439943i,0.0161875715972433-1.38899663439943i,-4.26813974706918+0i,-0.00864729744136681+1.41081307560906i,-0.00864729744136681-1.41081307560906i,-4.50877023816359+0i,0+0i,0+0i
-1.34996466193778+0i,-3.3656209152791+0i,-2.98474250371895+0i,0.0649625686127772+0i,-0.460866183195078+1.66253410110779i,-0.460866183195078-1.66253410110779i,-0.00252012549632647+0i,-0.501415775833967+1.61719952935903i,-0.501415775833967-1.61719952935903i,0+0i,0+0i
-1.08857630068365+0i,-2.91985261519148+0i,-2.59415330315483+0i,0.0022638560077598+1.07758844397935i,0.0022638560077598-1.07758844397935i,15.0567275427375+0i,-0.014047141190142+1.07654865328694i,-0.014047141190142-1.07654865328694i,14.9904101156929+0i,0+0i,0+0i
-0.927294932158002+0i,-2.77637677629902+0i,-2.20392564216321+0i,-2.2791002166731+0i,0.293641583727018+0.441874916794652i,0.293641583727018-0.441874916794652i,0.184939404394564+0.636686082483249i,0.184939404394564-0.636686082483249i,-2.60451363794357+0i,0+0i,1+0i
-2.17925235164579+0i,-3.56780143913971+0i,-2.82676025453794+0i,0.00484801420777037+1.14726416264324i,0.00484801420777037-1.14726416264324i,-2.54964923051759+0i,-0.0115415551236277+1.19824156779299i,-0.0115415551236277-1.19824156779299i,-2.86404479347742+0i,0+0i,0+0i
-1.1462401923+0i,-2.81031144868686+0i,-2.36331085163384+0i,0.000430392591035028+1.29933334138206i,0.000430392591035028-1.29933334138206i,2.11654879623781+0i,-0.0691022812666165+1.26439050149065i,-0.0691022812666165-1.26439050149065i,2.16050981727756+0i,0+0i,0+0i
-0.824276003275389+0i,-2.50627382894661+0i,-2.01024477048862+0i,0.0894682793000615+0i,-0.437449041617873+1.3362203915438i,-0.437449041617873-1.3362203915438i,-0.472488584534659+1.03167446182959i,-0.472488584534659-1.03167446182959i,0.0978887965512541+0i,0+0i,0+0i
15.4324002735638,15.4324002735638,0,3.92503818543115,-3.93199953293407,18071.0823720162,-3.93199113367245,3.92504658238411,18070.3370521161,0,0
16.8496962845063,16.8496962845063,0,4.10421283827843,-4.1055038115512,101884.749805297,-4.1055022346028,4.10421441498595,101884.427317243,0,0
17.5583442899776,17.5583442899776,0,4.18550606071935,-4.19533910553884,13657.6569150806,-4.19533170513924,4.18551345388719,13657.406342857,0,0
17.9126682927132,17.9126682927132,0,4.23200217018669,-4.23269137647947,197143.856570108,-4.23269067951754,4.23200286710136,197143.524007202,0,0
15.6001876828818,15.6001876828818,0,3.94918498849707,-3.95026332154263,117232.3617492,-3.95026237957824,3.94918593041452,117231.851336056,0,0
16.4835366564553,16.4835366564553,0,4.05609964729767,-4.06413782073137,16167.9407197161,-4.06413433894365,4.05610312678296,16167.7565458251,0,0
16.925211143242,16.925211143242,0,4.11192017827341,-4.11626842692085,30305.3588186698,-4.11626068840109,4.11192791337115,30304.7668956592,0,0
17.5877228734221,17.5877228734221,0,4.19234372731592,-4.19529214641279,45685.2545190193,-4.19528249331946,4.19235337719861,45684.3657693824,0,0
18.0293973602088,18.0293973602088,0,4.24586582936818,-4.24635705538739,277407.425271706,-4.24635601289123,4.24586687181229,277406.765431858,0,0
18.4710718469956,18.4710718469956,0,4.29758549120325,-4.29802517536967,314062.523454147,-4.29802408507689,4.29758658145258,314061.651316434,0,0
18.691909090389,18.691909090389,0,4.32134912722772,-4.32561216777477,32580.117806166,-4.32560264640161,4.3213586451781,32579.2754743741,0,0
18.9127463337823,18.9127463337823,0,4.34830636096041,-4.3494878735332,118469.561344948,-4.34948628779749,4.34830794650584,118469.16225545,0,0
